dataset,task,seed,fold,lambda,n_train,n_val,class,feature,coefficient,selected
BC-Jackson2020,clinical_type,1,1,1.0,288,82,HR+HER2-,tcn_fraction__2,0.0,False
BC-Jackson2020,clinical_type,1,1,1.0,288,82,HR+HER2-,tcn_fraction__3,-0.006959156005833,True
BC-Jackson2020,clinical_type,1,1,1.0,288,82,HR+HER2-,tcn_fraction__4,0.0033962041156869,True
BC-Jackson2020,clinical_type,1,1,1.0,288,82,HR+HER2-,tcn_fraction__5,0.0811159834045177,True
BC-Jackson2020,clinical_type,1,1,1.0,288,82,HR-HER2+,tcn_fraction__1,-0.3357971514233864,True
BC-Jackson2020,clinical_type,1,1,1.0,288,82,HR-HER2+,tcn_fraction__2,0.0,False
BC-Jackson2020,clinical_type,1,1,1.0,288,82,HR-HER2+,tcn_fraction__3,0.20351679400365,True
BC-Jackson2020,clinical_type,1,1,1.0,288,82,HR-HER2+,tcn_fraction__4,-0.0265130848489903,True
BC-Jackson2020,clinical_type,1,1,1.0,288,82,HR-HER2+,tcn_fraction__5,0.0,False
BC-Jackson2020,clinical_type,1,1,1.0,288,82,TripleNeg,tcn_fraction__1,0.0,False
BC-Jackson2020,clinical_type,1,1,1.0,288,82,TripleNeg,tcn_fraction__2,0.0,False
BC-Jackson2020,clinical_type,1,1,1.0,288,82,TripleNeg,tcn_fraction__3,0.1681180608914342,True
BC-Jackson2020,clinical_type,1,1,1.0,288,82,TripleNeg,tcn_fraction__4,-0.1942791878054979,True
BC-Jackson2020,clinical_type,1,1,1.0,288,82,TripleNeg,tcn_fraction__5,0.0,False
BC-Jackson2020,clinical_type,1,2,1.0,296,74,HR+HER2+,tcn_fraction__1,0.1061227674418716,True
BC-Jackson2020,clinical_type,1,2,1.0,296,74,HR+HER2+,tcn_fraction__2,0.0,False
BC-Jackson2020,clinical_type,1,2,1.0,296,74,HR+HER2+,tcn_fraction__3,-0.0932786700975885,True
BC-Jackson2020,clinical_type,1,2,1.0,296,74,HR+HER2+,tcn_fraction__4,0.0589691743184636,True
BC-Jackson2020,clinical_type,1,2,1.0,296,74,HR+HER2+,tcn_fraction__5,-0.0896616737752323,True
BC-Jackson2020,clinical_type,1,2,1.0,296,74,HR+HER2-,tcn_fraction__1,-0.0705197023180461,True
BC-Jackson2020,clinical_type,1,2,1.0,296,74,HR+HER2-,tcn_fraction__2,0.0,False
BC-Jackson2020,clinical_type,1,2,1.0,296,74,HR+HER2-,tcn_fraction__3,0.037339054834068,True
BC-Jackson2020,clinical_type,1,2,1.0,296,74,HR+HER2-,tcn_fraction__4,0.0,False
BC-Jackson2020,clinical_type,1,2,1.0,296,74,HR+HER2-,tcn_fraction__5,0.0426769684256021,True
BC-Jackson2020,clinical_type,1,2,1.0,296,74,HR-HER2+,tcn_fraction__1,-0.1849662746670214,True
BC-Jackson2020,clinical_type,1,2,1.0,296,74,HR-HER2+,tcn_fraction__2,0.4376212761265352,True
BC-Jackson2020,clinical_type,1,2,1.0,296,74,HR-HER2+,tcn_fraction__3,0.3878159827044171,True
BC-Jackson2020,clinical_type,1,2,1.0,296,74,HR-HER2+,tcn_fraction__4,0.0,False
BC-Jackson2020,clinical_type,1,2,1.0,296,74,HR-HER2+,tcn_fraction__5,-0.1032953146748338,True
BC-Jackson2020,clinical_type,1,2,1.0,296,74,TripleNeg,tcn_fraction__1,0.0927452560020759,True
BC-Jackson2020,clinical_type,1,2,1.0,296,74,TripleNeg,tcn_fraction__2,0.0,False
BC-Jackson2020,clinical_type,1,2,1.0,296,74,TripleNeg,tcn_fraction__3,-0.0113380679221609,True
BC-Jackson2020,clinical_type,1,2,1.0,296,74,TripleNeg,tcn_fraction__4,-0.0162649628689419,True
BC-Jackson2020,clinical_type,1,2,1.0,296,74,TripleNeg,tcn_fraction__5,0.0830552608532793,True
BC-Jackson2020,clinical_type,1,3,1.0,302,68,HR+HER2+,tcn_fraction__1,0.1533949833818136,True
BC-Jackson2020,clinical_type,1,3,1.0,302,68,HR+HER2+,tcn_fraction__2,0.1274226587169695,True
BC-Jackson2020,clinical_type,1,3,1.0,302,68,HR+HER2+,tcn_fraction__3,-0.0651289649878404,True
BC-Jackson2020,clinical_type,1,3,1.0,302,68,HR+HER2+,tcn_fraction__4,0.0,False
BC-Jackson2020,clinical_type,1,3,1.0,302,68,HR+HER2+,tcn_fraction__5,-0.1294728713183468,True
BC-Jackson2020,clinical_type,1,3,1.0,302,68,HR+HER2-,tcn_fraction__1,0.0,False
BC-Jackson2020,clinical_type,1,3,1.0,302,68,HR+HER2-,tcn_fraction__2,0.0,False
BC-Jackson2020,clinical_type,1,3,1.0,302,68,HR+HER2-,tcn_fraction__3,-0.0246261756232162,True
BC-Jackson2020,clinical_type,1,3,1.0,302,68,HR+HER2-,tcn_fraction__4,0.0488001356510089,True
BC-Jackson2020,clinical_type,1,3,1.0,302,68,HR+HER2-,tcn_fraction__5,0.1044899706813231,True
BC-Jackson2020,clinical_type,1,3,1.0,302,68,HR-HER2+,tcn_fraction__1,-0.1986228288688588,True
BC-Jackson2020,clinical_type,1,3,1.0,302,68,HR-HER2+,tcn_fraction__2,0.0,False
BC-Jackson2020,clinical_type,1,3,1.0,302,68,HR-HER2+,tcn_fraction__3,0.2613256149201541,True
BC-Jackson2020,clinical_type,1,3,1.0,302,68,HR-HER2+,tcn_fraction__4,0.0,False
BC-Jackson2020,clinical_type,1,3,1.0,302,68,HR-HER2+,tcn_fraction__5,-0.0733080452637277,True
BC-Jackson2020,clinical_type,1,3,1.0,302,68,TripleNeg,tcn_fraction__1,0.0,False
BC-Jackson2020,clinical_type,1,3,1.0,302,68,TripleNeg,tcn_fraction__2,-0.2095062159247409,True
BC-Jackson2020,clinical_type,1,3,1.0,302,68,TripleNeg,tcn_fraction__3,0.0059696099388719,True
BC-Jackson2020,clinical_type,1,3,1.0,302,68,TripleNeg,tcn_fraction__4,-0.2413879482103066,True
BC-Jackson2020,clinical_type,1,3,1.0,302,68,TripleNeg,tcn_fraction__5,0.0891831471897222,True
BC-Jackson2020,clinical_type,1,4,1.0,299,71,HR+HER2+,tcn_fraction__1,0.1287333187834398,True
BC-Jackson2020,clinical_type,1,4,1.0,299,71,HR+HER2+,tcn_fraction__2,0.0,False
BC-Jackson2020,clinical_type,1,4,1.0,299,71,HR+HER2+,tcn_fraction__3,0.0,False
BC-Jackson2020,clinical_type,1,4,1.0,299,71,HR+HER2+,tcn_fraction__4,0.0,False
BC-Jackson2020,clinical_type,1,4,1.0,299,71,HR+HER2+,tcn_fraction__5,-0.1303970080111769,True
BC-Jackson2020,clinical_type,1,4,1.0,299,71,HR+HER2-,tcn_fraction__1,-0.0196604452503163,True
BC-Jackson2020,clinical_type,1,4,1.0,299,71,HR+HER2-,tcn_fraction__2,0.0,False
