task,scheme,model,class,feature,n_datasets,mean_abs_shap,median_abs_shap,mean_value_shap_spearman,dataset_direction_agreement
OS,cv,cox,risk,Stroma (SMA hi Vimentin hi),1,0.05023504834989757,0.05023504834989757,-1.0,1.0
OS,cv,cox,risk,HRlow CKlow,1,0.05011369200843079,0.05011369200843079,1.0,1.0
OS,cv,cox,risk,Fibroblasts CD68+,1,0.04935904120365688,0.04935904120365688,1.0,1.0
OS,cv,cox,risk,Tumor (CD20+),1,0.046721293406715256,0.046721293406715256,-0.3333333333333333,1.0
OS,cv,cox,risk,dirt,1,0.04652720377349263,0.04652720377349263,0.19999999999999993,1.0
OS,cv,cox,risk,Alt MAC,1,0.04299599842154031,0.04299599842154031,0.7333333333333333,1.0
OS,cv,cox,risk,Tumor (Hypoxic),1,0.04204496374962727,0.04204496374962727,1.0,1.0
OS,cv,cox,risk,Tumor (CK lo HR lo),1,0.040979978563135025,0.040979978563135025,0.7333333333333333,1.0
OS,cv,cox,risk,Endothelial,2,0.03983468752164175,0.03983468752164175,0.4666666666666667,1.0
OS,cv,cox,risk,tumor cells,1,0.039809078254584365,0.039809078254584365,-0.5999999999999999,1.0
OS,cv,cox,risk,Unassigned,1,0.036964339991836306,0.036964339991836306,-0.7333333333333333,1.0
OS,cv,cox,risk,Myoepithelial,1,0.03533113269418317,0.03533113269418317,-0.8666666666666667,1.0
OS,cv,cox,risk,Unspecified,1,0.03527710181845738,0.03527710181845738,-0.7333333333333333,1.0
OS,cv,cox,risk,nerves,1,0.03511558668186613,0.03511558668186613,-0.4666666666666667,1.0
OS,cv,cox,risk,Tumor (Ki67+),1,0.03500779865416637,0.03500779865416637,0.7333333333333333,1.0
OS,cv,cox,risk,Macrophages Vim+ CD45low,1,0.03471593516248937,0.03471593516248937,-1.0,1.0
OS,cv,cox,risk,Stroma (Small circular),1,0.03426295204729319,0.03426295204729319,-0.8666666666666667,1.0
OS,cv,cox,risk,CD8 T cell,1,0.03078856948777342,0.03078856948777342,0.6,1.0
OS,cv,cox,risk,Granulocyte,1,0.029258237163416877,0.029258237163416877,-0.6,1.0
OS,cv,cox,risk,T cell,1,0.02907010104098925,0.02907010104098925,0.3333333333333333,1.0
OS,cv,cox,risk,PD-1+ CD8+,1,0.028183920587513886,0.028183920587513886,-1.0,1.0
OS,cv,cox,risk,Stroma (Vimentin hi),1,0.026499854866521365,0.026499854866521365,-0.2,1.0
OS,cv,cox,risk,Endothelial cell,1,0.026448827490444023,0.026448827490444023,0.2,1.0
OS,cv,cox,risk,Tumor (CK+ HR lo),1,0.026445344268364642,0.026445344268364642,-0.06666666666666667,1.0
OS,cv,cox,risk,Tumor (Myoepithelial),1,0.02533906869551293,0.02533906869551293,-1.0,1.0
OS,cv,cox,risk,CD4+ T cells GATA3+,1,0.0247752360978439,0.0247752360978439,0.6363636363636362,1.0
OS,cv,cox,risk,Tumor (CK lo HR hi p53+),1,0.024718352312998088,0.024718352312998088,1.0,1.0
OS,cv,cox,risk,immune cells,1,0.02418590963921183,0.02418590963921183,0.6,1.0
OS,cv,cox,risk,Vessel,1,0.024052956642477818,0.024052956642477818,-0.4666666666666667,1.0
OS,cv,cox,risk,Vascular SMA+,1,0.023701679901253356,0.023701679901253356,-0.8666666666666667,1.0
OS,cv,cox,risk,Basal CKlow,1,0.023654267688630094,0.023654267688630094,0.8666666666666667,1.0
OS,cv,cox,risk,Non-Cl Mo,1,0.023068372720796357,0.023068372720796357,0.6,1.0
OS,cv,cox,risk,Tumor (p53+ EGFR+),1,0.02263767662769748,0.02263767662769748,0.6,1.0
OS,cv,cox,risk,Cl MAC,1,0.02263476559077253,0.02263476559077253,-0.8666666666666666,1.0
OS,cv,cox,risk,Lymph vessel,1,0.021638045203045363,0.021638045203045363,-0.7333333333333333,1.0
OS,cv,cox,risk,Neutrophils,1,0.021030174896885842,0.021030174896885842,0.9999999999999999,1.0
OS,cv,cox,risk,PD-L1+ immune,1,0.020425702060732232,0.020425702060732232,-0.6,1.0
OS,cv,cox,risk,Stroma (Small elongated),1,0.019660170573438003,0.019660170573438003,-0.4666666666666667,1.0
OS,cv,cox,risk,Cancer,1,0.01901833978639948,0.01901833978639948,0.6,1.0
OS,cv,cox,risk,Cl Mo,1,0.01890109514476917,0.01890109514476917,-0.4666666666666667,1.0
OS,cv,cox,risk,HR- CKlow CK5+,1,0.018517854086720614,0.018517854086720614,0.2,1.0
OS,cv,cox,risk,T cells,1,0.018322087742721756,0.018322087742721756,0.3333333333333333,1.0
OS,cv,cox,risk,Tumor (CK+ HR hi),1,0.01803794975689663,0.01803794975689663,0.3333333333333333,1.0
OS,cv,cox,risk,CD3+ T cells,1,0.01765418448531593,0.01765418448531593,-0.7333333333333333,1.0
OS,cv,cox,risk,Hypoxia,1,0.016974407680551064,0.016974407680551064,-1.0,1.0
OS,cv,cox,risk,PD-L1- tumor,1,0.016212375619354413,0.016212375619354413,0.06666666666666667,1.0
OS,cv,cox,risk,Tumor (CK+ HR+),1,0.01608199776854113,0.01608199776854113,0.33333333333333326,1.0
OS,cv,cox,risk,HR+ CK7-,1,0.01592271898944431,0.01592271898944431,-0.2,1.0
OS,cv,cox,risk,Tumor (Basal CK),1,0.014770047348928074,0.014770047348928074,-0.20000000000000007,1.0
OS,cv,cox,risk,HR+ CK7- Slug+,1,0.014034808544737477,0.014034808544737477,0.6,1.0
OS,cv,cox,risk,NK cell,1,0.012742792164921076,0.012742792164921076,0.06666666666666667,1.0
OS,cv,cox,risk,DCs cell,1,0.012540165210389495,0.012540165210389495,0.06666666666666667,1.0
OS,cv,cox,risk,Tumor (CK7+ CK hi Ecadh hi),1,0.011354901245130338,0.011354901245130338,-0.7333333333333333,1.0
OS,cv,cox,risk,T & B cells,1,0.011004435608252363,0.011004435608252363,-0.6,1.0
OS,cv,cox,risk,CD11b+CD68+ macrophages,1,0.01048802819365479,0.01048802819365479,-1.0,1.0
OS,cv,cox,risk,Macrophages Vim+ Slug+,1,0.008993583549854682,0.008993583549854682,0.3333333333333333,1.0
OS,cv,cox,risk,Macrophages Vim+ Slug-,1,0.008639457175320614,0.008639457175320614,-0.7333333333333333,1.0
PFS,cv,cox,risk,Granulocytes,1,0.3958284678423832,0.3958284678423832,0.7333333333333333,1.0
PFS,cv,cox,risk,M1_mac,1,0.38611892833019323,0.38611892833019323,0.3333333333333333,1.0
PFS,cv,cox,risk,DCs,1,0.36437952887001834,0.36437952887001834,-1.0,1.0
PFS,cv,cox,risk,M2_mac,1,0.3556682859574159,0.3556682859574159,-1.0,1.0
PFS,cv,cox,risk,Ki67,1,0.3029716589382223,0.3029716589382223,1.0,1.0
PFS,cv,cox,risk,CD8_cells,1,0.17674632605998014,0.17674632605998014,1.0,1.0
PFS,cv,cox,risk,B_Cells,1,0.16727367457616313,0.16727367457616313,1.0,1.0
PFS,cv,cox,risk,Stroma,1,0.15743402081276434,0.15743402081276434,0.8666666666666667,1.0
PFS,cv,cox,risk,Unidentified,1,0.12688218923217515,0.12688218923217515,0.25,1.0
PFS,cv,cox,risk,Treg,1,0.12286229003169684,0.12286229003169684,-0.3333333333333333,1.0
PFS,cv,cox,risk,CD4,1,0.1205907089804866,0.1205907089804866,-0.06666666666666667,1.0
PFS,cv,cox,risk,Cytotoxic CD8,1,0.11956485947472618,0.11956485947472618,-0.8666666666666667,1.0
PFS,cv,cox,risk,Vessels,1,0.11779993368790187,0.11779993368790187,-0.6,1.0
PFS,cv,cox,risk,CD4_TFH,1,0.09592049105397252,0.09592049105397252,-0.2,1.0
PFS,cv,cox,risk,Exhausted CD8,1,0.09539339315613443,0.09539339315613443,-0.06666666666666667,1.0
PFS,cv,cox,risk,Tumour,1,0.0907825594753119,0.0907825594753119,-0.4666666666666667,1.0
