dataset,motif_id,role,spatial,residual_on,n_labeled_v2,n_0,n_1,auc_composition,gate1_composition,panel,auc_density,gate2_density,decision,in_formal_set
luad_sorin2023,tls_like,spatial,True,b_cell;t_cell,329,167,162,0.7009107692307691,fail,composition_then_density,0.756763076923077,fail,drop_composition_leak,False
luad_sorin2023,interface_immune,spatial,True,immune;tumor,326,167,159,0.5545189743589743,pass,composition_then_density,0.6784041025641027,fail,hold,False
luad_sorin2023,vessel_immune,spatial,True,immune;vessel,326,164,162,0.6498748717948718,fail,composition_then_density,0.6890584615384616,fail,drop_composition_leak,False
luad_sorin2023,cd8_clustering,spatial,True,cd8,314,147,167,0.5922215384615385,pass,composition_then_density,0.6198646153846155,fail,hold,False
nsclc_aung2025,tumor_high,control,False,,95,42,53,0.9925925925925926,pass_control,composition_then_density,0.9944444444444446,pass_control,keep_control,True
nsclc_aung2025,cd8_high,control,False,,95,46,49,0.8685185185185186,fail_control,composition_then_density,0.9074074074074076,pass_control,fail_control,False
nsclc_aung2025,immune_exclusion,spatial,True,tumor;cd8,46,25,21,0.3666666666666666,pass,composition_then_density,0.6333333333333333,fail,hold,False
nsclc_aung2025,t_tumor_mixing,spatial,True,tumor;t_cell,48,33,15,0.7,fail,composition_then_density,0.7166666666666667,fail,drop_composition_leak,False
nsclc_aung2025,cd8_tumor_contact,spatial,True,tumor;cd8,41,25,16,0.5,pass,composition_then_density,0.5333333333333333,fail,hold,False
nsclc_aung2025,macrophage_tumor_niche,spatial,True,tumor;macrophage,60,38,22,0.4833333333333333,pass,composition_then_density,0.4,fail,hold,False
nsclc_aung2025,granulocyte_tumor_niche,spatial,True,tumor;granulocyte,40,26,14,0.4,pass,composition_then_density,0.3333333333333333,fail,hold,False
nsclc_aung2025,apc_t_contact,spatial,True,apc;t_cell,55,22,33,0.7666666666666667,fail,composition_then_density,0.75,fail,drop_composition_leak,False
nsclc_aung2025,tls_like,spatial,True,b_cell;t_cell,47,16,31,0.4833333333333333,pass,composition_then_density,0.2666666666666666,fail,hold,False
nsclc_aung2025,interface_immune,spatial,True,immune;tumor,49,27,22,0.55,pass,composition_then_density,0.7333333333333333,fail,hold,False
nsclc_aung2025,vessel_immune,spatial,True,immune;vessel,53,20,33,0.6333333333333333,borderline,composition_then_density,0.6,fail,hold,False
nsclc_aung2025,tumor_stroma_mixing,spatial,True,tumor;stroma,40,23,17,0.2666666666666666,pass,composition_then_density,0.4666666666666667,fail,hold,False
nsclc_aung2025,cd8_clustering,spatial,True,cd8,35,14,21,0.5666666666666667,pass,composition_then_density,0.6666666666666666,fail,hold,False
nsclc_ici_monkman2024,tumor_high,control,False,,36,18,18,0.9666666666666668,pass_control,composition_then_density,0.95,pass_control,keep_control,True
nsclc_ici_monkman2024,cd8_high,control,False,,36,18,18,0.8625,fail_control,composition_then_density,0.8138888888888889,fail_control,fail_control,False
nsclc_ici_monkman2024,immune_exclusion,spatial,True,tumor;cd8,18,9,9,0.9333333333333332,fail,composition_then_density,0.9666666666666668,pass,drop_composition_leak,False
nsclc_ici_monkman2024,t_tumor_mixing,spatial,True,tumor;t_cell,18,9,9,0.6666666666666666,fail,composition_then_density,0.65,fail,drop_composition_leak,False
nsclc_ici_monkman2024,cd8_tumor_contact,spatial,True,tumor;cd8,18,9,9,0.4333333333333333,pass,composition_then_density,0.3666666666666666,fail,hold,False
nsclc_ici_monkman2024,macrophage_tumor_niche,spatial,True,tumor;macrophage,18,9,9,0.55,pass,composition_then_density,0.7666666666666667,fail,hold,False
nsclc_ici_monkman2024,granulocyte_tumor_niche,spatial,True,tumor;granulocyte,16,8,8,0.7833333333333333,fail,composition_then_density,0.6,fail,drop_composition_leak,False
nsclc_ici_monkman2024,apc_t_contact,spatial,True,apc;t_cell,18,9,9,0.8,fail,composition_then_density,0.7666666666666667,fail,drop_composition_leak,False
nsclc_ici_monkman2024,tls_like,spatial,True,b_cell;t_cell,18,9,9,0.3166666666666666,pass,composition_then_density,0.5333333333333333,fail,hold,False
nsclc_ici_monkman2024,interface_immune,spatial,True,immune;tumor,18,9,9,0.6333333333333333,borderline,composition_then_density,0.7333333333333333,fail,hold,False
nsclc_ici_monkman2024,vessel_immune,spatial,True,immune;vessel,18,9,9,0.75,fail,composition_then_density,0.7166666666666667,fail,drop_composition_leak,False
nsclc_ici_monkman2024,tumor_stroma_mixing,spatial,True,tumor;stroma,17,9,8,0.5,pass,composition_then_density,0.6833333333333333,fail,hold,False
nsclc_ici_monkman2024,cd8_clustering,spatial,True,cd8,18,9,9,0.3666666666666666,pass,composition_then_density,0.3833333333333333,fail,hold,False
tnbc_wang2023,tumor_high,control,False,,766,383,383,0.9966155414158188,pass_control,composition_then_density,0.9918383596897709,pass_control,keep_control,True
tnbc_wang2023,cd8_high,control,False,,766,383,383,0.9957069032351534,pass_control,composition_then_density,0.9874327761176974,pass_control,keep_control,True
tnbc_wang2023,immune_exclusion,spatial,True,tumor;cd8,405,202,203,0.682695074244612,fail,composition_then_density,0.9842654357801552,pass,drop_composition_leak,False
tnbc_wang2023,t_tumor_mixing,spatial,True,tumor;t_cell,440,220,220,0.6615594931436102,fail,composition_then_density,0.8407841529109988,pass,drop_composition_leak,False
tnbc_wang2023,cd8_tumor_contact,spatial,True,tumor;cd8,406,204,202,0.6904805530908616,fail,composition_then_density,0.8676533416167851,pass,drop_composition_leak,False
tnbc_wang2023,macrophage_tumor_niche,spatial,True,tumor;macrophage,387,193,194,0.7118398518099962,fail,composition_then_density,0.8388083994600589,pass,drop_composition_leak,False
tnbc_wang2023,granulocyte_tumor_niche,spatial,True,tumor;granulocyte,285,142,143,0.7499132839618096,fail,composition_then_density,0.7502073093275262,fail,drop_composition_leak,False
tnbc_wang2023,apc_t_contact,spatial,True,apc;t_cell,462,230,232,0.5772453093821586,pass,composition_then_density,0.6486089354141985,fail,hold,False
tnbc_wang2023,tls_like,spatial,True,b_cell;t_cell,468,235,233,0.8790904777476098,fail,composition_then_density,0.8481704414921365,pass,drop_composition_leak,False
tnbc_wang2023,interface_immune,spatial,True,immune;tumor,474,237,237,0.5948328054632713,pass,composition_then_density,0.7179025854177062,fail,hold,False
tnbc_wang2023,vessel_immune,spatial,True,immune;vessel,473,236,237,0.688407589389969,fail,composition_then_density,0.7400991092370341,fail,drop_composition_leak,False
tnbc_wang2023,tumor_stroma_mixing,spatial,True,tumor;stroma,458,229,229,0.7104722512424734,fail,composition_then_density,0.8948532391961879,pass,drop_composition_leak,False
tnbc_wang2023,cd8_clustering,spatial,True,cd8,407,204,203,0.5697676214618039,pass,composition_then_density,0.5930687030220497,fail,hold,False
hnc_wu2022,tumor_high,control,False,,366,191,175,0.998,pass_control,composition_then_density,0.994,pass_control,keep_control,True
hnc_wu2022,cd8_high,control,False,,366,183,183,0.995,pass_control,composition_then_density,0.992,pass_control,keep_control,True
hnc_wu2022,tumor_stroma_mixing,spatial,True,tumor;stroma,213,110,103,0.499,pass,composition_then_density,0.825,pass,keep_spatial,True
hnc_wu2022,interface_immune,spatial,True,immune;tumor,220,98,122,0.531,pass,composition_then_density,0.934,pass,keep_spatial_caveat,True
hnc_wu2022,immune_exclusion,spatial,True,tumor;cd8,216,107,109,0.62,borderline,composition_then_density,0.928,pass,keep_spatial_caveat,True
hnc_wu2022,cd8_clustering,spatial,True,cd8,223,123,100,0.556,pass,composition_then_density,0.639,fail,hold,False
hnc_wu2022,tls_like,spatial,True,b_cell;t_cell,231,130,101,0.514,pass,composition_then_density,0.628,fail,hold,False
hnc_wu2022,t_tumor_mixing,spatial,True,tumor;t_cell,238,118,120,0.799,fail,composition_then_density,,not_tested,drop_composition_leak,False
hnc_wu2022,cd8_tumor_contact,spatial,True,tumor;cd8,232,111,121,0.702,fail,composition_then_density,,not_tested,drop_composition_leak,False
hnc_wu2022,macrophage_tumor_niche,spatial,True,tumor;macrophage,241,109,132,0.711,fail,composition_then_density,,not_tested,drop_composition_leak,False
hnc_wu2022,granulocyte_tumor_niche,spatial,True,tumor;granulocyte,236,114,122,0.637,fail,composition_then_density,,not_tested,drop_composition_leak,False
hnc_wu2022,apc_t_contact,spatial,True,apc;t_cell,250,135,115,0.733,fail,composition_then_density,,not_tested,drop_composition_leak,False
hnc_wu2022,vessel_immune,spatial,True,immune;vessel,244,124,120,0.654,fail,composition_then_density,,not_tested,drop_composition_leak,False
